Full_Address,Bedrooms,Bathrooms,Price,Latitude,Longitude,City_Brampton,City_Markham,City_Mississauga,City_Toronto,City_Vaughan,Home_Type_CONDO,Home_Type_SINGLE_FAMILY,Home_Type_TOWNHOUSE
"370 Dixon Rd #1006, Toronto, ON M9R 1T2",2,1,449000,43.740112,-79.43508,0,0,0,1,0,1,0,0
"50 Brian Harrison Way #2404, Toronto, ON M1P 5J4",2,2,649900,43.790176,-79.44959,0,0,0,1,0,1,0,0
"85 Queens Wharf Rd #TOWNHOUSE, Toronto, ON M5V 0J9",3,3,1200000,43.77591,-79.308105,0,0,0,1,0,0,0,1
"55 Huntingdale Blvd #1603, Toronto, ON M1W 2N9",2,2,629900,43.68671,-79.307625,0,0,0,1,0,1,0,0
"1070 Briar Hill Ave, Toronto, ON M6B 1M7",4,4,1630000,43.779655,-79.28293,0,0,0,1,0,1,0,0
"30 Sunrise Ave #411, Toronto, ON M4A 2R3",4,2,729000,43.660137,-79.38587,0,0,0,1,0,1,0,0
"110 Jim Baird Mews, Toronto, ON M3L 0C4",3,3,949000,43.691498,-79.34212,0,0,0,1,0,0,1,0
"10 Markbrook Ln #1705, Toronto, ON M9V 5E3",2,2,619900,43.780823,-79.247604,0,0,0,1,0,1,0,0
"5 Frith Rd #804, Toronto, ON M3N 2L5",1,1,449900,43.6444,-79.52869,0,0,0,1,0,1,0,0
"234 Albion Rd #610, Toronto, ON M9W 6A5",3,2,374900,43.682133,-79.45115,0,0,0,1,0,0,1,0
"85 Wood St #2108, Toronto, ON M4Y 0E8",1,1,785000,43.652035,-79.37334,0,0,0,1,0,1,0,0
"80 Chelford Rd, Toronto, ON M3B 2E5",3,2,1988800,43.63423,-79.54093,0,0,0,1,0,1,0,0
"800 Kennedy Rd #605, Toronto, ON M1K 2C9",2,1,445000,43.71985,-79.302765,0,0,0,1,0,1,0,0
"20 Livonia Pl #7, Toronto, ON M1E 4W6",3,3,699999,43.638138,-79.420845,0,0,0,1,0,1,0,0
"49 E Liberty St #2609, Toronto, ON M6K 0A7",1,1,399999,43.64664,-79.394264,0,0,0,1,0,1,0,0
"16 Brookers Ln #705, Toronto, ON M8V 0A5",1,1,579900,43.72638,-79.31152,0,0,0,1,0,1,0,0
"75 Portland St #327, Toronto, ON M5V 2M9",1,1,848000,43.64174,-79.42332,0,0,0,1,0,1,0,0
"1720 Eglinton Ave E #620, Toronto, ON M4A 2X8",2,3,729000,43.618717,-79.48554,0,0,0,1,0,1,0,0
"2 Thomas Mulholland Dr, Toronto, ON M3K 0B5",3,3,899000,43.64635,-79.39363,0,0,0,1,0,1,0,0
"195 Redpath Ave #3216, Toronto, ON M4P 0E4",1,1,592000,43.75818,-79.18413,0,0,0,1,0,0,1,0
"313 Milverton Blvd, Toronto, ON M4J 1V8",4,2,1328000,43.715557,-79.28169,0,0,0,1,0,0,0,1
"60 Brian Harrison Way #3306, Toronto, ON M1P 5J5",1,1,499000,43.798508,-79.221436,0,0,0,1,0,0,1,0
"650 Sheppard Ave E PENTHOUSE 8, Toronto, ON M2K 3E4",2,2,898000,43.638092,-79.583984,0,0,0,1,0,1,0,0
"39 Grandville Ave, Toronto, ON M6N 4T8",2,2,599000,43.67984,-79.32119,0,0,0,1,0,0,1,0
"350 Mill Rd #UPH4, Toronto, ON M9C 5R7",2,2,749900,43.767906,-79.16864,0,0,0,1,0,0,1,0
"14 Hiltz Ave, Toronto, ON M4L 2N5",3,1,998800,43.62607,-79.490616,0,0,0,1,0,1,0,0
"8 Silverbell Grv #207, Toronto, ON M1B 4Z3",2,2,589900,43.645405,-79.40141,0,0,0,1,0,1,0,0
"89 Dunfield Ave #3406, Toronto, ON M4S 0A4",1,1,764900,43.69788,-79.27615,0,0,0,1,0,0,1,0
"65 Huntingdale Blvd #1405, Toronto, ON M1W 2P1",2,2,899000,43.664803,-79.38696,0,0,0,1,0,1,0,0
"1 Palace Pier Ct #4107, Toronto, ON M8V 3W9",1,1,649000,43.699455,-79.38709,0,0,0,1,0,1,0,0
"9 Ladysbridge Dr, Toronto, ON M1G 3H5",4,2,790000,43.77459,-79.23049,0,0,0,1,0,1,0,0
"274 Beech Ave, Toronto, ON M4E 3J2",3,2,1129000,43.706955,-79.39502,0,0,0,1,0,1,0,0
"509 Beecroft Rd #1216, Toronto, ON M2N 0A3",1,1,699000,43.656803,-79.37509,0,0,0,1,0,1,0,0
"105 Victoria St #1202, Toronto, ON M5C 3B4",1,1,599999,43.643013,-79.406204,0,0,0,1,0,1,0,0
"3845 Lake Shore Blvd W #1510, Toronto, ON M8W 4Y3",2,1,645000,43.76033,-79.41165,0,0,0,1,0,1,0,0
