no,Address,zipcode,city,latitude,longitude,price,bathrooms,bedrooms,homeType
203,367 York Hill Blvd,L4J3B5,Vaughan,43.8194,-79.43828,1548000,3,4,SINGLE_FAMILY
204,29 Aylin Cres,L6A4Z8,Vaughan,43.84697,-79.479164,1548000,4,4,TOWNHOUSE
205,86 Emmitt Rd,L6A3R8,Vaughan,43.84537,-79.53382,1548888,3,3,SINGLE_FAMILY
206,309 Waterside Cres,L6A1V4,Vaughan,,,1549000,3,4,SINGLE_FAMILY
207,60 Marbella Rd,L4H1M2,Vaughan,43.81543,-79.6242,1549000,3,4,SINGLE_FAMILY
208,47 Woodcroft Ln E,L4L6S8,Vaughan,43.79493,-79.69314,1549000,4,4,SINGLE_FAMILY
209,131 Shelbourne Dr,L4H0V2,Vaughan,,,1549000,4,3,SINGLE_FAMILY
210,122 Bachman Dr,L6A3R8,Vaughan,43.845882,-79.53334,1549999,4,3,SINGLE_FAMILY
211,67 Sgotto Blvd,L4H1W8,Vaughan,43.82283,-79.61469,1550000,4,4,SINGLE_FAMILY
212,12 Jade Cres,L4L6L5,Vaughan,43.787697,-79.61876,1569900,4,4,SINGLE_FAMILY
213,29 George Kirby St,L6A0K5,Vaughan,,,1579000,4,3,TOWNHOUSE
214,338 Castlehill Rd,L6A1V9,Vaughan,43.837517,-79.51147,1579000,4,4,SINGLE_FAMILY
215,70 Arianna Cres,L6A4Z9,Vaughan,43.852448,-79.47149,1588000,4,4,TOWNHOUSE
216,15 Storica Dr,L4H0R8,Vaughan,43.835567,-79.5745,1588000,4,3,SINGLE_FAMILY
217,63 Royal Palm Dr,L4J5P9,Vaughan,43.79726,-79.43174,1588000,4,4,SINGLE_FAMILY
218,29 Loma Vista Dr,L4J7S3,Vaughan,43.812195,-79.47795,1588000,4,3,SINGLE_FAMILY
219,147 Killian Rd,L6A1B3,Vaughan,43.8576,-79.52136,1588000,4,4,SINGLE_FAMILY
220,31 Silverado Trl,L4H1W4,Vaughan,43.82616,-79.61318,1588888,3,3,SINGLE_FAMILY
221,102 Marbella Rd,L4H1L4,Vaughan,43.81555,-79.62168,1599000,4,4,SINGLE_FAMILY
222,50 Tansley Rd,L4J3H6,Vaughan,43.797844,-79.45786,1599000,4,4,SINGLE_FAMILY
223,96 Catalpa Cres,L6A0R6,Vaughan,43.858482,-79.49556,1599000,4,4,SINGLE_FAMILY
224,27 Acqua Dr,L4H3L1,Vaughan,43.829487,-79.57724,1599000,2,3,SINGLE_FAMILY
225,164 Peak Point Blvd,L6A0C1,Vaughan,43.88833,-79.5141,1599000,4,4,SINGLE_FAMILY
226,401 Kleinburg Summit Way,L4H4T1,Vaughan,,,1599000,4,3,TOWNHOUSE
227,60 Gayla St,L4J6G2,Vaughan,43.79387,-79.46626,1600000,5,4,SINGLE_FAMILY
228,41 Mintwood Rd,L4J9C3,Vaughan,43.8433,-79.47113,1608000,4,5,SINGLE_FAMILY
229,572 Belview Ave,L4L7P2,Vaughan,43.79794,-79.55153,1645000,4,4,SINGLE_FAMILY
230,100 Cabinet Cres,L4L6H5,Vaughan,43.79665,-79.6246,1649000,4,4,SINGLE_FAMILY
231,39 Amy Wood Rd,L4H2Z2,Vaughan,43.83742,-79.56886,1649999,2,3,SINGLE_FAMILY
232,109 Largo Cres,L6A1N1,Vaughan,43.841644,-79.5338,1650000,4,3,SINGLE_FAMILY
233,5 Venetian Cres,L4L5E3,Vaughan,43.795635,-79.56738,1650000,4,4,SINGLE_FAMILY
234,119 Bayhampton Cres,L4J7E3,Vaughan,43.84996,-79.46499,1688000,4,4,SINGLE_FAMILY
235,11 Ironside Dr,L4H3R8,Vaughan,43.84829,-79.5739,1688000,3,4,SINGLE_FAMILY
236,479 Sonoma Blvd,L4H2S2,Vaughan,43.81764,-79.624,1688000,4,4,SINGLE_FAMILY
237,12 Seurat Pl,L4J9B1,Vaughan,43.834297,-79.4776,1688800,3,4,SINGLE_FAMILY
238,60 Saint Michele Pl,L4H2H8,Vaughan,43.814117,-79.61148,1697000,3,4,SINGLE_FAMILY
239,24 Firefly Cres,L4L7V8,Vaughan,43.84173,-79.55436,1698000,3,4,SINGLE_FAMILY
240,59 Westway Cres,L4K5M1,Vaughan,43.8358,-79.495,1698000,3,4,SINGLE_FAMILY
241,28 Danby St,L4H3Z9,Vaughan,,,1698800,4,4,SINGLE_FAMILY
242,491 Melville Ave,L6A2M1,Vaughan,43.8639,-79.533745,1698800,3,4,SINGLE_FAMILY
243,11 Ryder Rd,L6A1E4,Vaughan,43.84814,-79.512215,1699000,2,3,SINGLE_FAMILY
244,6 Pinecone Cir,L4K5K5,Vaughan,43.83716,-79.4989,1699000,4,4,SINGLE_FAMILY
245,31 Gully Ln,L6A2Y5,Vaughan,43.8641,-79.54384,1699000,4,4,SINGLE_FAMILY
246,113 Marwood Pl,L6A1C5,Vaughan,43.85742,-79.519936,1699000,4,4,SINGLE_FAMILY
247,212 La Rocca Ave,L4H2M1,Vaughan,43.829525,-79.56552,1699800,4,4,SINGLE_FAMILY
248,446 Aberdeen Ave,L4L5J4,Vaughan,43.79433,-79.57154,1699900,4,4,SINGLE_FAMILY
249,127 Vellore Park Ave,L4H4S5,Vaughan,43.849174,-79.55696,1699900,4,4,SINGLE_FAMILY
250,404 Forest Fountain Dr,L4H1W4,Vaughan,,,1699900,4,4,SINGLE_FAMILY
251,331 Summeridge Dr,L4J8R7,Vaughan,43.8365,-79.467255,1730000,3,3,SINGLE_FAMILY
252,122 Casa Nova Dr,L4H3B3,Vaughan,43.837234,-79.56842,1739000,3,4,SINGLE_FAMILY
253,48 Foxfield Cres,L4K5G1,Vaughan,,,1749900,4,4,SINGLE_FAMILY
254,29 Antonella Cres,L4L7P1,Vaughan,43.798794,-79.55326,1750000,4,4,SINGLE_FAMILY
255,476 La Rocca Ave,L4H3J9,Vaughan,43.828457,-79.5757,1759000,4,4,SINGLE_FAMILY
256,200 Wallace St,L4L2P5,Vaughan,43.779564,-79.59147,1788000,4,4,SINGLE_FAMILY
257,281 Forest Run Blvd,L4K5G2,Vaughan,43.83416,-79.485,1788000,4,4,SINGLE_FAMILY
